Borostomias_antarcticus,ERR10934069,2087932,1570,589.088
Clupea_harengus,ERR10934069,2087755,1391,528.853
Borostomias_antarcticus,ERR10934070,2076037,6857,1869.15
Clupea_harengus,ERR10934070,2075157,5883,1649.23
Borostomias_antarcticus,ERR10934071,1823853,5601,1615.77
Clupea_harengus,ERR10934071,1823134,4823,1427.5
Borostomias_antarcticus,ERR10936409,81307431,104621,734.242
Clupea_harengus,ERR10936409,81302598,15815,68.6994
Borostomias_antarcticus,ERR10936410,89503439,114787,806.593
Clupea_harengus,ERR10936410,89498200,17512,76.0813
Clupea_harengus,ERR11029671,2175462,727,205.568
Electrona_antarctica,ERR11029671,2184174,3917,256.379
Clupea_harengus,ERR11029672,2140986,797,258.986
Electrona_antarctica,ERR11029672,2157935,6410,305.846
Clupea_harengus,ERR11040177,1624867263,81931,371.08
Electrona_antarctica,ERR11040177,1627318211,8033166,25973.2
Clupea_harengus,ERR13363199,66283866,62856,213.342
Clupea_harengus,ERR13363232,165608356,169147,851.346
Clupea_harengus,ERR3566167,174361122,14581,59.6027
Salarias_fasciatus,ERR3566167,174367633,123700,956.103
Clupea_harengus,ERR3566168,181619960,15423,63.6857
Salarias_fasciatus,ERR3566168,181626922,129343,999.567
Clupea_harengus,ERR3629068,0,0,
Salarias_fasciatus,ERR3629068,0,0,
Clupea_harengus,ERR3629069,0,0,
Salarias_fasciatus,ERR3629069,0,0,
Clupea_harengus,ERR3629070,0,0,
Salarias_fasciatus,ERR3629070,0,0,
Clupea_harengus,SRR15111159,332510109,188433,917.336
Siniperca_chuatsi,SRR15111159,332510779,779112,7040.51
Clupea_harengus,SRR17799534,841087,801,383.969
Hypomesus_transpacificus,SRR17799534,841135,850,414.554
Clupea_harengus,SRR17799535,1045192672,337052,1157.28
Hypomesus_transpacificus,SRR17799535,1045271145,1814758,13986.8
Clupea_harengus,SRR17921806,1479715,1262,370.752
Hypomesus_transpacificus,SRR17921806,1479792,1582,427.117
Clupea_harengus,SRR17921807,764111217,296401,1106.15
Hypomesus_transpacificus,SRR17921807,764201987,1836273,14011.9
Anoplopoma_fimbria,SRR21199004,4258931,890,90.9192
Clupea_harengus,SRR21199004,4258870,327,52.8306
Anoplopoma_fimbria,SRR21199007,1357333532,458797,2477.86
Clupea_harengus,SRR21199007,1357332728,41593,149.832
Anoplopoma_fimbria,SRR21199008,1905474,1206,319.993
Clupea_harengus,SRR21199008,1905288,766,249.287
Clupea_harengus,SRR2127225,193501172,20585,76.8359
Xiphophorus_couchianus,SRR2127225,193501804,260158,1545.77
Clupea_harengus,SRR2131027,95648282,6161,21.1933
Xiphophorus_couchianus,SRR2131027,95648541,121890,564.41
Clupea_harengus,SRR2131118,91647718,6714,27.7108
Xiphophorus_couchianus,SRR2131118,91648510,131753,732.287
Clupea_harengus,SRR26322995,1128819,8,0.240105
Clupea_harengus,SRR26322996,1239955,24,2.51009
Clupea_harengus,SRR27482199,832870751,112077,436.7
Oncorhynchus_mykiss,SRR27482199,833060574,728708,4360.85
Clupea_harengus,SRR27482200,833867019,111452,432.725
Oncorhynchus_mykiss,SRR27482200,834056652,726391,4341.73
Channa_striata,SRR29199348,1109533,1197,447.027
Clupea_harengus,SRR29199348,1109254,823,316.724
Channa_striata,SRR29199350,527532709,78598,474.735
Clupea_harengus,SRR29199350,527519163,12061,42.5531
Channa_striata,SRR29199351,340665271,1386430,12344.2
Clupea_harengus,SRR29199351,340661194,275860,1189.3
Clupea_harengus,SRR6002358,295101679,37006,148.433
Oryzias_melastigma,SRR6002358,295121373,772411,3905.66
Clupea_harengus,SRR6002359,207375501,210617,740.908
Oryzias_melastigma,SRR6002359,207615268,1689522,10516.5
Clupea_harengus,SRR6002363,258243655,131163,546.809
Oryzias_melastigma,SRR6002363,258266964,1326007,9541.9
Clupea_harengus,SRR7464412,0,0,
Xiphophorus_couchianus,SRR7464412,0,0,
Clupea_harengus,SRR7464416,0,0,
Xiphophorus_couchianus,SRR7464416,0,0,
Clupea_harengus,SRR7881546,0,0,
Takifugu_flavidus,SRR7881546,0,0,
Clupea_harengus,SRR7881547,0,0,
Takifugu_flavidus,SRR7881547,0,0,
Clupea_harengus,SRR7881549,0,0,
Takifugu_flavidus,SRR7881549,0,0,
Clupea_harengus,SRR7881551,257422550,67701,303.331
Takifugu_flavidus,SRR7881551,257423896,385449,3452.6
